ticket_id,ticket_text,Servicio,Categoria,Subcategoria
TKT-0072,¿Con qué frecuencia se recomienda correr la optimización de índices?,Soporte Técnico,Mantenimiento,Optimización de índices
TKT-0073,Error de timeout durante la optimización de índices de texto completo.,Soporte Técnico,Mantenimiento,Optimización de índices
TKT-0074,Mejorar los tiempos de consulta mediante la optimización de índices manual.,Soporte Técnico,Mantenimiento,Optimización de índices
TKT-0075,Script automatizado para la optimización de índices en horarios de bajo tráfico.,Soporte Técnico,Mantenimiento,Optimización de índices
TKT-0076,Problema con la expiración de token: dura menos del tiempo configurado.,API Management,Autenticación,Expiración de token
TKT-0077,La búsqueda indexada de logs está tardando varios minutos en completarse.,Performance & Monitoring,Logs,Búsqueda indexada
TKT-0078,El servidor web arroja Error 502 Bad Gateway intermitentemente.,Soporte Técnico,Errores,Error 502 Bad Gateway
TKT-0079,Necesito configurar una tabla con enrutamiento estático hacia mi VPN.,Cloud Infrastructure,Redes,Enrutamiento estático
TKT-0080,¿Cómo aplico la exención de impuestos y retenciones a mi factura?,Billing & Account,Facturación,Impuestos y retenciones
TKT-0081,El enrutamiento estático está ignorando una de las subredes declaradas.,Cloud Infrastructure,Redes,Enrutamiento estático
TKT-0082,Aumentar los límites de llamadas API para el entorno de producción.,API Management,Integración,Límites de llamadas API
TKT-0083,Necesito exportar el historial de alertas del último trimestre para auditoría.,Performance & Monitoring,Alertas,Historial de alertas
TKT-0084,¿Cómo manejo la expiración de token en el frontend sin desconectar al usuario?,API Management,Autenticación,Expiración de token
TKT-0085,Estamos alcanzando el límite de IOPS de disco y la base de datos se congela.,Performance & Monitoring,Métricas,IOPS de disco
TKT-0086,¿Cómo borro una ruta en la configuración de enrutamiento estático?,Cloud Infrastructure,Redes,Enrutamiento estático
TKT-0087,El cálculo de impuestos y retenciones es incorrecto para mi región.,Billing & Account,Facturación,Impuestos y retenciones
TKT-0088,Necesito actualizar mi RFC/NIT para el desglose de impuestos y retenciones.,Billing & Account,Facturación,Impuestos y retenciones
TKT-0089,¿Cómo uso operadores lógicos en la búsqueda indexada de eventos?,Performance & Monitoring,Logs,Búsqueda indexada
TKT-0090,Error al crear un nuevo índice para la búsqueda indexada de errores.,Performance & Monitoring,Logs,Búsqueda indexada
TKT-0091,Programar una verificación de disco debido a posibles sectores corruptos.,Soporte Técnico,Mantenimiento,Verificación de disco
TKT-0092,La búsqueda indexada no muestra resultados recientes de las últimas dos horas.,Performance & Monitoring,Logs,Búsqueda indexada
TKT-0093,¿Cómo puedo aumentar los IOPS de disco de mi volumen de almacenamiento?,Performance & Monitoring,Métricas,IOPS de disco
TKT-0094,¿Cómo configuro el apagado programado de mis instancias los fines de semana?,Cloud Infrastructure,Instancias,Apagado programado
TKT-0095,Monitorear los IOPS de disco mediante el dashboard de rendimiento.,Performance & Monitoring,Métricas,IOPS de disco
TKT-0096,Optimizar el rendimiento de la búsqueda indexada en el cluster de logs.,Performance & Monitoring,Logs,Búsqueda indexada
TKT-0097,Conflicto entre el enrutamiento estático y las rutas dinámicas de la VPC.,Cloud Infrastructure,Redes,Enrutamiento estático
TKT-0098,No puedo filtrar logs por timestamp.,Performance & Monitoring,Logs,Acceso a logs
TKT-0099,Duda sobre los impuestos y retenciones aplicados en el último cobro.,Billing & Account,Facturación,Impuestos y retenciones
TKT-0100,Solicito cambiar mi cuenta a la modalidad de facturación corporativa.,Billing & Account,Suscripción,Facturación corporativa
TKT-0101,El apagado programado no se ejecutó anoche y los servidores se quedaron encendidos.,Cloud Infrastructure,Instancias,Apagado programado
TKT-0102,Alerta de alta latencia por saturación de IOPS de disco en el servidor de logs.,Performance & Monitoring,Métricas,IOPS de disco
TKT-0103,Necesito un script para automatizar el apagado programado de instancias de desarrollo.,Cloud Infrastructure,Instancias,Apagado programado
TKT-0104,Error al generar el certificado de impuestos y retenciones.,Billing & Account,Facturación,Impuestos y retenciones
TKT-0105,¿Los IOPS de disco asignados son garantizados o compartidos?,Performance & Monitoring,Métricas,IOPS de disco
TKT-0106,Error de red: el tráfico no sigue las reglas de enrutamiento estático.,Cloud Infrastructure,Redes,Enrutamiento estático
TKT-0107,La actualización de CLI falló y dañó la configuración global anterior.,Soporte Técnico,Instalación,Actualización de CLI
TKT-0108,¿Cuánto tarda en procesarse un reembolso?,Billing & Account,Facturación,Reembolsos
TKT-0109,No estoy recibiendo las alertas de cuota cuando llego al 90% del límite.,API Management,Rate Limiting,Alertas de cuota
TKT-0110,Problema con Latencia de red,Cloud Infrastructure,Redes,Latencia de red
TKT-0111,El enlace de la invitación a equipo expira demasiado rápido.,Billing & Account,Acceso,Invitación a equipo
TKT-0112,¿Cuál es el comportamiento cuando se superan los límites de llamadas API?,API Management,Integración,Límites de llamadas API
TKT-0113,Los logs más antiguos no están disponibles.,Performance & Monitoring,Logs,Acceso a logs
TKT-0114,Problema con DNS y dominios,Cloud Infrastructure,Redes,DNS y dominios
TKT-0115,Falla en la tarea de apagado programado de servidores virtuales.,Cloud Infrastructure,Instancias,Apagado programado
TKT-0116,No le llega el correo de invitación a equipo a un nuevo desarrollador.,Billing & Account,Acceso,Invitación a equipo
TKT-0117,Configuración de alertas antes de realizar el apagado programado de las instancias.,Cloud Infrastructure,Instancias,Apagado programado
TKT-0118,Las alertas se disparan con frecuencia. ¿Cómo filtro?,Performance & Monitoring,Logs,Alertas de error
TKT-0119,El scaling down es muy agresivo y causa caídas de servicio.,Cloud Infrastructure,Instancias,Escalabilidad automática
TKT-0120,Requisitos para activar la facturación corporativa mediante orden de compra.,Billing & Account,Suscripción,Facturación corporativa
TKT-0121,¿Qué pasa con el prorrateo si cambio de plan mid-ciclo?,Billing & Account,Facturación,Ciclo de facturación
TKT-0122,El departamento de compras necesita datos para la facturación corporativa.,Billing & Account,Suscripción,Facturación corporativa
TKT-0123,CPU al 100% constantemente. ¿Es normal? ¿Cómo optimizo?,Cloud Infrastructure,Instancias,Rendimiento de servidor
TKT-0124,Configurar alertas de cuota personalizadas para el consumo de la API.,API Management,Rate Limiting,Alertas de cuota
TKT-0125,Necesito reiniciar una instancia. ¿Hay downtime asociado?,Cloud Infrastructure,Instancias,Reinicio de instancia
TKT-0126,La verificación de disco tardó 4 horas y causó lentitud en la instancia.,Soporte Técnico,Mantenimiento,Verificación de disco
TKT-0127,Problema con Balanceador de carga,Cloud Infrastructure,Redes,Balanceador de carga
TKT-0128,Error reportado por la herramienta de verificación de disco en el volumen principal.,Soporte Técnico,Mantenimiento,Verificación de disco
TKT-0129,El refresh token falla inmediatamente después de la expiración de token original.,API Management,Autenticación,Expiración de token
TKT-0130,"Después del reinicio, los datos no persistieron. ¿Dónde guardé mal?",Cloud Infrastructure,Instancias,Reinicio de instancia
TKT-0131,Error al aceptar la invitación a equipo enviada por el administrador.,Billing & Account,Acceso,Invitación a equipo
TKT-0132,¿Hay análisis automático de crecimiento?,Performance & Monitoring,Métricas,Comparativa de periodos
TKT-0133,"Necesito reembolso parcial, ¿es posible?",Billing & Account,Facturación,Reembolsos
TKT-0134,Necesito mover archivos históricos a un almacenamiento de archivado a largo plazo.,Cloud Infrastructure,Almacenamiento,Archivado a largo plazo
TKT-0135,¿Puedo cambiar la política de retención?,Performance & Monitoring,Logs,Retención de datos
TKT-0136,¿Es necesario desmontar el volumen para realizar la verificación de disco?,Soporte Técnico,Mantenimiento,Verificación de disco
TKT-0137,Recibo error 401 debido a la pronta expiración de token de acceso.,API Management,Autenticación,Expiración de token
TKT-0138,Configurar múltiples direcciones de envío en la facturación corporativa.,Billing & Account,Suscripción,Facturación corporativa
TKT-0139,Problemas con los plazos de pago acordados en la facturación corporativa.,Billing & Account,Suscripción,Facturación corporativa
TKT-0140,La instancia que provisioné no está respondiendo. ¿Cómo verifico el estado?,Cloud Infrastructure,Instancias,Provisión de servidor
TKT-0141,¿Cómo realizo una actualización de CLI de forma segura en un script CI/CD?,Soporte Técnico,Instalación,Actualización de CLI
TKT-0142,Configuración personalizada para la política de expiración de token de API.,API Management,Autenticación,Expiración de token
TKT-0143,Error de cuota excedida debido a los límites de llamadas API.,API Management,Integración,Límites de llamadas API
TKT-0144,"Después de la actualización de la API, todo responde con Error 502 Bad Gateway.",Soporte Técnico,Errores,Error 502 Bad Gateway
TKT-0145,El percentil P99 de latencia es muy alto.,Performance & Monitoring,Métricas,Latencia de respuesta
TKT-0146,¿Cuál es el costo por GB en el servicio de archivado a largo plazo?,Cloud Infrastructure,Almacenamiento,Archivado a largo plazo
TKT-0147,Recibí múltiples alertas de cuota duplicadas en mi correo.,API Management,Rate Limiting,Alertas de cuota
TKT-0148,¿Dónde puedo ver el umbral configurado para las alertas de cuota?,API Management,Rate Limiting,Alertas de cuota
TKT-0149,Configuración del proxy para evitar el Error 502 Bad Gateway por timeout.,Soporte Técnico,Errores,Error 502 Bad Gateway
TKT-0150,¿Puedo cambiar la política de retención?,Performance & Monitoring,Logs,Retención de datos
TKT-0151,Disponibilidad por debajo del SLA. ¿Compensación?,Performance & Monitoring,Métricas,Disponibilidad del servicio
TKT-0152,Error al verificar la versión después de la actualización de CLI.,Soporte Técnico,Instalación,Actualización de CLI
TKT-0153,El pago se procesó pero la suscripción no se activó.,Billing & Account,Facturación,Métodos de pago
TKT-0154,Monitorear en tiempo real los límites de llamadas API por cliente.,API Management,Integración,Límites de llamadas API
TKT-0155,Necesito refrescar tokens sin que expire la sesión.,API Management,Autenticación,Token JWT
TKT-0156,El backend está caído y el balanceador responde con Error 502 Bad Gateway.,Soporte Técnico,Errores,Error 502 Bad Gateway
TKT-0157,Problema con Configuración de firewall,Cloud Infrastructure,Redes,Configuración de firewall
TKT-0158,¿Cómo migro mi aplicación a una instancia diferente sin downtime?,Cloud Infrastructure,Instancias,Migración de servidor
TKT-0159,Historial y resultados de la última verificación de disco ejecutada.,Soporte Técnico,Mantenimiento,Verificación de disco
TKT-0160,Cancelación de cuenta rechazada sin explicación.,Billing & Account,Suscripción,Cancelación de cuenta
TKT-0161,"Después del reinicio, los datos no persistieron. ¿Dónde guardé mal?",Cloud Infrastructure,Instancias,Reinicio de instancia
TKT-0162,Error al recuperar un backup del sistema de archivado a largo plazo.,Cloud Infrastructure,Almacenamiento,Archivado a largo plazo
TKT-0163,"Latencia inconsistente: a veces rápido, a veces lento.",Performance & Monitoring,Métricas,Latencia de respuesta
TKT-0164,No recibo notificaciones de alertas.,Performance & Monitoring,Logs,Alertas de error
TKT-0165,Las alertas de cuota se dispararon erróneamente sin haber alcanzado el límite.,API Management,Rate Limiting,Alertas de cuota
TKT-0166,Duda sobre los límites de llamadas API en planes empresariales.,API Management,Integración,Límites de llamadas API
TKT-0167,Downgrade de plan causó que perdiera features.,Billing & Account,Suscripción,Cambio de plan
TKT-0168,¿Cuándo son las ventanas de mantenimiento?,Soporte Técnico,Mantenimiento,Ventanas de mantenimiento
TKT-0169,El historial de alertas no registra las notificaciones enviadas a Slack.,Performance & Monitoring,Alertas,Historial de alertas
TKT-0170,Mi librería cliente no es compatible con la nueva versión de API.,API Management,Integración,Compatibilidad
TKT-0171,El scaling down es muy agresivo y causa caídas de servicio.,Cloud Infrastructure,Instancias,Escalabilidad automática
TKT-0172,¿Cuál es la frecuencia de parches?,Soporte Técnico,Mantenimiento,Actualizaciones de parches
TKT-0173,¿Soportan integración con frameworks específicos?,API Management,Integración,Compatibilidad
TKT-0174,¿Hay downtime esperado en mantenimiento?,Soporte Técnico,Mantenimiento,Ventanas de mantenimiento
TKT-0175,Quiero cancelar mi cuenta. ¿Cuál es el proceso?,Billing & Account,Suscripción,Cancelación de cuenta
TKT-0176,El flujo OAuth no redirige correctamente al callback.,API Management,Autenticación,OAuth 2.0
TKT-0177,Throttling está afectando mi aplicación en producción.,API Management,Rate Limiting,Throttling
TKT-0178,Problema con DNS y dominios,Cloud Infrastructure,Redes,DNS y dominios
TKT-0179,¿Cuál es la diferencia entre client credentials y authorization code?,API Management,Autenticación,OAuth 2.0
TKT-0180,Mi ciclo de facturación es confuso. ¿Cuándo se me cobra?,Billing & Account,Facturación,Ciclo de facturación
TKT-0181,Revisar la comunicación de red interna para solucionar el Error 502 Bad Gateway.,Soporte Técnico,Errores,Error 502 Bad Gateway
TKT-0182,¿Cuál es la duración máxima de un JWT?,API Management,Autenticación,Token JWT
TKT-0183,Problema con DNS y dominios,Cloud Infrastructure,Redes,DNS y dominios
TKT-0184,El renovación automática de credenciales no funcionó.,API Management,Autenticación,Renovación de credenciales
TKT-0185,Problema con Latencia de red,Cloud Infrastructure,Redes,Latencia de red
TKT-0186,Problema con Conectividad VPC,Cloud Infrastructure,Redes,Conectividad VPC
TKT-0187,Necesito reiniciar una instancia. ¿Hay downtime asociado?,Cloud Infrastructure,Instancias,Reinicio de instancia
TKT-0188,¿Hay downtime planeado próximamente?,Soporte Técnico,Mantenimiento,Downtime planificado
TKT-0189,No puedo filtrar logs por timestamp.,Performance & Monitoring,Logs,Acceso a logs
TKT-0190,Los logs se borraron antes de la fecha de retención.,Performance & Monitoring,Logs,Retención de datos
TKT-0191,Promoción aplicada incorrectamente en la factura.,Billing & Account,Suscripción,Promociones
TKT-0192,Pagué a mitad de mes y me cobran el ciclo completo.,Billing & Account,Facturación,Ciclo de facturación
TKT-0193,¿Qué causa error 500 en esta API?,Soporte Técnico,Errores,Error 500
TKT-0194,La actualización de CLI requiere permisos de administrador que no poseo.,Soporte Técnico,Instalación,Actualización de CLI
TKT-0195,Limpieza de base de datos dejó inconsistencias.,Soporte Técnico,Mantenimiento,Limpieza de base de datos
TKT-0196,Mi suscripción se renovó aunque la cancelé.,Billing & Account,Suscripción,Renovación automática
TKT-0197,¿Puedo solicitar una excepción temporal para superar límites?,API Management,Rate Limiting,Excepciones temporales
TKT-0198,Problemas de compatibilidad con comandos antiguos tras la actualización de CLI.,Soporte Técnico,Instalación,Actualización de CLI
TKT-0199,Configurar políticas de ciclo de vida para el archivado a largo plazo de logs.,Cloud Infrastructure,Almacenamiento,Archivado a largo plazo
TKT-0200,¿Dónde veo la fecha de expiración de mis credenciales?,API Management,Autenticación,Renovación de credenciales
TKT-0201,La factura no coincide con el desglose de uso.,Billing & Account,Facturación,Factura incorrecta
TKT-0202,Problema con Conectividad VPC,Cloud Infrastructure,Redes,Conectividad VPC
TKT-0203,¿Hay Docker compose para desarrollo?,Soporte Técnico,Instalación,Entorno de desarrollo
TKT-0204,¿Dónde encuentro la lista de dependencias?,Soporte Técnico,Instalación,Dependencias faltantes
TKT-0205,¿Cuándo se elimina soporte para versiones antiguas?,API Management,Integración,Versionamiento
TKT-0206,El servidor de desarrollo no funciona.,Soporte Técnico,Instalación,Entorno de desarrollo
TKT-0207,¿Cómo accedo a los logs de mi aplicación?,Performance & Monitoring,Logs,Acceso a logs
TKT-0208,Mi ciclo de facturación es confuso. ¿Cuándo se me cobra?,Billing & Account,Facturación,Ciclo de facturación
TKT-0209,¿Cómo accedo a los logs de mi aplicación?,Performance & Monitoring,Logs,Acceso a logs
TKT-0210,Error en configuración inicial del SDK.,Soporte Técnico,Instalación,Configuración inicial
TKT-0211,El bug fue introducido en la última actualización.,Soporte Técnico,Errores,Bug en feature
TKT-0212,¿Puedo revertir después de migrar?,Soporte Técnico,Mantenimiento,Migraciones
TKT-0213,¿Cómo puedo limpiar o purgar el historial de alertas antiguas?,Performance & Monitoring,Alertas,Historial de alertas
TKT-0214,Tiempo estimado de disponibilidad al solicitar archivos en archivado a largo plazo.,Cloud Infrastructure,Almacenamiento,Archivado a largo plazo
TKT-0215,La escalabilidad automática no se activa aunque los umbrales se superan.,Cloud Infrastructure,Instancias,Escalabilidad automática
TKT-0216,Recibí cobro de renovación antes de la fecha esperada.,Billing & Account,Suscripción,Renovación automática
TKT-0217,Variables de entorno no se cargan correctamente.,Soporte Técnico,Instalación,Entorno de desarrollo
TKT-0218,Tengo un evento especial y necesito límites temporales aumentados.,API Management,Rate Limiting,Excepciones temporales
TKT-0219,¿Dónde puedo descargar logs en formato CSV?,Performance & Monitoring,Logs,Acceso a logs
TKT-0220,Quiero cambiar a un plan más barato. ¿Afecta mi servicio?,Billing & Account,Suscripción,Cambio de plan
TKT-0221,"Después del reinicio, los datos no persistieron. ¿Dónde guardé mal?",Cloud Infrastructure,Instancias,Reinicio de instancia
TKT-0222,Las alertas se disparan con frecuencia. ¿Cómo filtro?,Performance & Monitoring,Logs,Alertas de error
TKT-0223,¿Dónde pongo mis credenciales?,Soporte Técnico,Instalación,Configuración inicial
TKT-0224,Un parche rompió mi aplicación.,Soporte Técnico,Mantenimiento,Actualizaciones de parches
TKT-0225,Throttling está afectando mi aplicación en producción.,API Management,Rate Limiting,Throttling
TKT-0226,Recibo error 500 intermitente.,Soporte Técnico,Errores,Error 500
TKT-0227,Los eventos del webhook llegan con mucho retraso.,API Management,Integración,Webhook
TKT-0228,Pip install falla con error de compilación.,Soporte Técnico,Instalación,Instalación de SDK
TKT-0229,Solicité un reembolso hace una semana. ¿Dónde está?,Billing & Account,Facturación,Reembolsos
TKT-0230,Perdí mi API key. ¿Cómo genero una nueva?,API Management,Autenticación,API Keys
TKT-0231,¿Cómo migro a la nueva versión de la plataforma?,Soporte Técnico,Mantenimiento,Migraciones
TKT-0232,Limpieza de base de datos dejó inconsistencias.,Soporte Técnico,Mantenimiento,Limpieza de base de datos
TKT-0233,¿Cuál es el impacto de limpiar la BD?,Soporte Técnico,Mantenimiento,Limpieza de base de datos
TKT-0234,¿Dónde pongo mis credenciales?,Soporte Técnico,Instalación,Configuración inicial
TKT-0235,No puedo crear una nueva instancia de servidor. Me aparece error de permisos al intentar provisionar desde el dashboard.,Cloud Infrastructure,Instancias,Provisión de servidor
TKT-0236,¿Cuánto tarda en procesarse un reembolso?,Billing & Account,Facturación,Reembolsos
TKT-0237,El servidor deja de responder a las 3 PM diariamente. Sospecho que es un problema de carga.,Cloud Infrastructure,Instancias,Rendimiento de servidor
TKT-0238,Throttling está afectando mi aplicación en producción.,API Management,Rate Limiting,Throttling
TKT-0239,Mi suscripción se renovó aunque la cancelé.,Billing & Account,Suscripción,Renovación automática
TKT-0240,¿Cómo genero un reporte de uso mensual?,Performance & Monitoring,Logs,Exportación de reportes
TKT-0241,Problema con Latencia de red,Cloud Infrastructure,Redes,Latencia de red
TKT-0242,¿Dónde pongo mis credenciales?,Soporte Técnico,Instalación,Configuración inicial
TKT-0243,Reenviar la invitación a equipo con un rol diferente.,Billing & Account,Acceso,Invitación a equipo
TKT-0244,Throttling está afectando mi aplicación en producción.,API Management,Rate Limiting,Throttling
TKT-0245,¿Cuántas personas puedo añadir mediante invitación a equipo en mi plan?,Billing & Account,Acceso,Invitación a equipo
TKT-0246,Necesito saber cuánto espacio estoy usando actualmente.,Cloud Infrastructure,Almacenamiento,Capacidad de almacenamiento
TKT-0247,Necesito reconfigurar el URL de mi webhook.,API Management,Integración,Webhook
TKT-0248,¿Cuáles son las dependencias del SDK?,Soporte Técnico,Instalación,Instalación de SDK
TKT-0249,Latencia muy alta en las consultas a base de datos. ¿Dónde está el cuello de botella?,Cloud Infrastructure,Instancias,Rendimiento de servidor
TKT-0250,¿Cómo restringo una API key a ciertos endpoints?,API Management,Autenticación,API Keys
TKT-0251,Hice reset de contraseña pero no puedo acceder.,Billing & Account,Acceso,Recuperación de contraseña
TKT-0252,¿Puedo programar exportaciones automáticas?,Performance & Monitoring,Logs,Exportación de reportes
TKT-0253,¿Cómo aplico un cupón retroactivamente?,Billing & Account,Facturación,Descuentos no aplicados
TKT-0254,¿Cuándo se elimina soporte para versiones antiguas?,API Management,Integración,Versionamiento
TKT-0255,El servidor de desarrollo no funciona.,Soporte Técnico,Instalación,Entorno de desarrollo
TKT-0256,La documentación no menciona este parámetro.,Soporte Técnico,Instalación,Documentación incompleta
